census_tract,total_pop,white_pop,black_pop,asian_pop,median_income
17031222200,2320,1977,82,134,167188
17031222500,1574,1152,53,36,103125
17031222600,1650,1086,101,83,75078
17031222700,2357,1406,92,28,75943
17031222800,1000,475,115,3,80850
17031222900,1052,590,153,0,74940
17031230100,1743,1039,231,68,84583
17031230200,1979,1262,180,49,64844
17031230300,825,374,87,0,52557
17031230400,2281,1068,30,48,76286
17031230500,3379,1150,320,197,24250
17031230600,8743,2983,2277,0,50603
17031230700,5847,1921,638,0,42891
17031230800,1084,609,59,0,61111
17031230900,5031,2325,834,77,60337
17031231100,1331,30,869,6,55714
17031231200,6292,560,4494,1,39042
17031231500,5865,284,4373,0,30341
17031240200,1811,1260,33,113,144659
17031240300,1294,964,76,135,139432
17031240500,2518,2112,49,190,167768
17031240600,1641,1188,161,117,144286
17031240700,1704,1191,199,73,93534
17031240800,1430,964,39,103,91964
17031240900,1094,578,151,190,66250
17031241000,1837,1260,138,113,80000
17031241100,3692,2500,419,149,82830
17031241200,1663,1237,97,182,116346
17031241300,1981,1524,169,134,158750
17031241400,6005,4752,472,319,149792
17031241500,2772,2256,38,144,158750
17031241600,3486,2808,49,198,107031
17031242000,4472,2711,766,550,133017
17031242100,3934,2955,16,301,177356
17031242200,3972,3271,266,126,147206
17031242300,3636,3235,14,99,94670
17031242400,2851,2547,56,89,94659
17031242500,3362,2470,325,151,79722
17031242600,5533,3566,937,18,80217
17031242700,1823,1119,319,44,65781
17031242800,1561,1376,12,33,127813
17031242900,1869,1243,98,116,122857
17031243000,2201,1382,28,142,106250
17031243100,2225,1547,18,144,103750
17031243200,2154,1644,162,175,118553
17031243300,2191,1720,88,88,115855
17031243400,3013,2177,78,212,101450
17031243500,4362,2804,747,220,148646
17031250200,3183,758,1602,0,55208
17031250300,5095,578,3396,27,42935
17031250400,5467,792,4077,0,47500
17031250500,6727,3255,1651,134,104659
17031250600,4658,283,3741,0,56985
17031250700,5965,369,4419,0,43358
17031250800,2525,142,2201,9,61229
17031251000,1106,70,734,0,29915
17031251100,4767,757,3412,1,29460
17031251200,4107,360,2950,0,42522
17031251300,4231,114,3730,0,37026
17031251400,3771,518,3140,0,18806
17031251500,4305,452,3535,61,38702
17031251600,4518,6,3370,0,32593
17031251700,1368,167,1033,0,52031
17031251800,4973,146,4454,0,26940
17031251900,5476,108,5070,0,26830
17031252000,5557,208,5135,0,27156
17031252101,1322,23,1277,0,-666666666
17031252102,6752,176,5519,0,45969
17031252201,2760,141,2539,7,39702
17031252202,4795,36,4624,84,37188
17031260100,1075,84,899,3,21188
17031260200,1170,20,1070,0,41506
17031260300,1842,56,1644,0,18803
17031260400,1238,0,1228,0,-666666666
17031260500,1791,17,1772,0,40985
17031260600,2324,64,2228,10,43427
17031260700,1602,28,1477,0,30694
17031260800,2337,126,2112,0,37708
17031260900,1467,183,1234,0,24112
17031261000,2443,60,2352,0,40684
17031270500,1302,25,1277,0,19107
17031271200,1283,59,1148,13,27784
17031271300,1033,11,902,20,33750
17031271400,1350,114,1074,21,27273
17031271500,1440,68,1266,0,37857
17031271800,554,0,535,0,50441
17031280100,7016,5179,131,1385,131742
17031280400,1471,346,1013,22,65972
17031280800,863,86,760,0,21786
17031280900,1075,95,897,83,-666666666
17031281900,6592,3411,186,2389,118669
17031282700,2275,802,819,259,77826
17031282800,1610,661,164,236,74158
17031283100,2980,811,739,976,41555
17031283200,1787,542,891,175,53153
17031283800,3656,1186,2065,321,76615
17031290900,4366,39,4313,0,31528
17031291200,1933,2,1913,0,26250
17031291600,1396,499,68,0,110167
17031292200,2580,115,2213,32,32192
17031292400,1880,434,1445,1,44801
17031292500,3698,258,2941,0,46847
17031300500,3214,1383,71,0,49500
17031300600,2862,718,351,0,46839
17031300700,4740,1891,129,66,43801
17031300800,4387,2099,0,0,30465
17031300900,3982,1405,1,0,30395
17031301100,2150,1170,42,0,34315
17031301200,5119,1817,810,42,38319
17031301600,3326,1136,113,2,28527
17031301701,3637,2021,27,91,49026
17031301702,3617,1355,0,0,40128
17031301801,4120,1807,2,0,41188
17031301802,2769,1255,30,0,37857
17031301803,3230,1917,0,0,37299
17031310200,1760,1040,78,322,96042
17031310300,1759,736,54,60,70149
17031310400,1201,426,8,125,59833
17031310500,1482,639,0,9,53923
17031310600,5598,2651,183,320,68958
17031310700,1486,601,101,162,60278
17031310800,4383,2154,45,206,59474
17031310900,4855,1996,96,40,68347
17031320101,7952,4729,536,1864,112139
17031320102,4769,3026,77,1122,178084
17031320400,3058,2075,330,457,155189
17031320600,5537,3860,450,954,113051
17031330101,4556,2922,127,1223,161990
17031330102,9253,4936,2244,1315,105639
17031330103,7928,4808,2220,819,99623
17031330200,3990,2114,1024,625,117237
17031340300,1800,493,0,1251,35761
17031340400,1584,355,33,1093,46827
17031340500,1730,957,70,571,35060
17031340600,1105,75,920,58,13897
17031350100,2459,226,827,1325,56593
17031350400,1859,8,1840,0,18368
17031351000,3357,124,2522,392,52877
17031351100,2230,14,2013,0,14463
17031351400,1535,85,1279,37,15865
17031351500,910,151,564,111,-666666666
17031360200,1792,75,1674,43,25305
17031380100,1984,94,1794,1,23417
17031380200,1652,74,1487,25,22629
17031380600,4044,430,3422,104,26510
17031381200,1664,0,1595,0,38200
17031381400,1672,11,1445,57,38007
17031381500,612,14,574,5,21230
17031381700,0,0,0,0,-666666666
17031381800,1251,102,1049,28,37264
17031381900,1275,23,1126,6,55521
17031390100,1714,145,1386,36,56023
17031390200,2227,406,1495,154,95888
17031390300,2890,363,2496,0,23861
17031390400,2357,245,2018,0,22368
17031390500,1741,538,999,63,49784
17031390600,1706,780,738,108,60208
17031390700,5857,1606,3276,694,71138
17031400300,1211,44,1161,0,41875
17031400400,2152,76,2018,0,33886
17031400500,2348,28,2320,0,20827
17031400800,2462,38,2421,0,10563
17031410100,2202,867,904,203,43901
17031410200,1484,674,474,188,52344
17031410500,2891,1170,1106,442,65441
17031410600,2245,1163,455,387,34960
17031410700,2564,1324,533,427,55427
17031410800,2907,1443,476,614,49405
17031410900,3427,2054,773,316,70083
17031411000,3741,1517,1455,399,56512
17031411100,2416,1541,91,432,118082
17031411200,1646,1096,77,330,100536
17031420100,1567,63,1392,11,19608
17031420200,1753,416,1087,145,26583
17031420300,2552,1090,904,411,36031
17031420400,1173,331,633,162,24870
17031420500,1978,28,1902,41,23539
17031420600,2104,80,1984,0,30828
17031420700,2593,27,2508,0,24508
17031420800,2563,129,2198,24,41438
17031421200,1994,44,1896,0,38068
17031430101,3090,43,2987,27,22418
17031430102,3602,95,3357,29,42801
17031430200,5560,472,4962,36,29913
17031430300,2437,40,2373,1,32000
17031430400,3184,100,2949,0,37485
17031430500,3781,62,3686,0,22136
17031430600,2168,72,1989,10,52202
17031430700,2831,143,2662,0,26875
17031430800,2013,6,2007,0,40057
17031430900,1653,9,1616,2,41833
17031431200,2805,13,2750,0,58884
17031431301,3558,192,3274,29,34220
17031431302,3260,186,2894,0,25424
17031431400,7635,417,6818,109,38858
17031440101,4680,15,4525,0,29162
17031440102,3255,114,3114,0,37194
17031440201,6178,24,6000,0,29071
17031440202,2720,21,2604,0,31534
17031440300,4954,1,4952,0,51559
17031440600,1899,17,1859,0,60000
17031440700,1455,12,1443,0,72143
17031440800,1823,60,1699,21,34095
17031440900,2514,11,2503,0,52778
17031450300,3340,27,3183,8,46475
17031460100,2656,260,2073,55,44606
17031460200,2221,880,621,0,25855
17031460301,3292,560,2109,8,34643
17031460302,3796,469,3164,0,34740
17031460400,3619,9,3545,14,59688
17031460500,6115,479,5623,0,56530
17031460800,4599,893,2892,0,32003
17031461000,1284,239,818,0,14243
17031470100,2652,71,2389,0,45294
17031480100,2241,6,2203,0,62583
17031480200,1065,12,990,0,62537
17031480300,1405,11,1366,0,49970
17031480400,5346,31,5292,0,85707
17031480500,2786,154,2396,0,48875
17031490200,3202,83,3002,24,59847
17031490500,2065,79,1929,31,65179
17031490600,1512,171,1341,0,47474
17031490700,2805,5,2783,0,45000
17031490800,3663,63,3568,8,48081
17031490901,3093,1,3092,0,33661
17031490902,4573,0,4499,33,56538
17031491000,3510,28,3367,0,21940
17031491100,4469,128,4195,0,67891
17031491200,1901,148,1714,0,46667
17031491300,2179,19,2143,8,36311
17031491400,3010,43,2869,0,35437
17031500100,3308,60,3248,0,69803
17031500200,1963,43,1821,0,32888
17031500300,1876,955,529,7,46685
17031510100,3735,2403,552,0,53839
17031510200,4017,859,2920,1,46645
17031510300,4345,69,4276,0,25805
17031520100,2269,1312,0,3,61875
17031520200,3577,1486,221,16,53432
